pos,play_at,team1_title_vi,team2_title_vi,round_pos,group_pos,unknown_team1_title_vi,unknown_team2_title_vi
1,12/06/2021 02:00:00 +7,Thổ Nhĩ Kỳ,Ý,1,1,,
2,12/06/2021 20:00:00 +7,Wales,Thụy Sĩ,1,1,,
3,12/06/2021 23:00:00 +7,Đan Mạch,Phần Lan,1,2,,
4,13/06/2021 02:00:00 +7,Bỉ,Nga,2,2,,
5,13/06/2021 20:00:00 +7,Anh,Croatia,2,4,,
6,13/06/2021 23:00:00 +7,Áo,Bắc Macedonia,2,3,,
7,14/06/2021 02:00:00 +7,Hà Lan,Ukraina,3,3,,
8,14/06/2021 20:00:00 +7,Scotland,Cộng hòa Séc,3,4,,
9,14/06/2021 23:00:00 +7,Ba Lan,Slovakia,3,5,,
10,15/06/2021 02:00:00 +7,Tây Ban Nha,Thụy Điển,4,5,,
11,15/06/2021 23:00:00 +7,Hungary,Bồ Đào Nha,4,6,,
12,16/06/2021 02:00:00 +7,Pháp,Đức,5,6,,
13,16/06/2021 20:00:00 +7,Phần Lan,Nga,5,2,,
14,16/06/2021 23:00:00 +7,Thổ Nhĩ Kỳ,Wales,5,1,,
15,17/06/2021 02:00:00 +7,Ý,Thụy Sĩ,6,1,,
16,17/06/2021 20:00:00 +7,Ukraina,Bắc Macedonia,6,3,,
17,17/06/2021 23:00:00 +7,Đan Mạch,Bỉ,6,2,,
18,18/06/2021 02:00:00 +7,Hà Lan,Áo,7,3,,
19,18/06/2021 20:00:00 +7,Thụy Điển,Slovakia,7,5,,
20,18/06/2021 23:00:00 +7,Croatia,Cộng hòa Séc,7,4,,
21,19/06/2021 02:00:00 +7,Anh,Scotland,8,4,,
22,19/06/2021 20:00:00 +7,Hungary,Pháp,8,6,,
23,19/06/2021 23:00:00 +7,Bồ Đào Nha,Đức,8,6,,
24,20/06/2021 02:00:00 +7,Tây Ban Nha,Ba Lan,9,5,,
25,20/06/2021 23:00:00 +7,Ý,Wales,9,1,,
26,20/06/2021 23:00:00 +7,Thụy Sĩ,Thổ Nhĩ Kỳ,9,1,,
27,21/06/2021 23:00:00 +7,Ukraina,Áo,10,3,,
28,21/06/2021 23:00:00 +7,Bắc Macedonia,Hà Lan,10,3,,
29,22/06/2021 02:00:00 +7,Phần Lan,Bỉ,11,2,,
30,22/06/2021 02:00:00 +7,Nga,Đan Mạch,11,2,,
31,23/06/2021 02:00:00 +7,Cộng hòa Séc,Anh,12,4,,
32,23/06/2021 02:00:00 +7,Croatia,Scotland,12,4,,
33,23/06/2021 23:00:00 +7,Thụy Điển,Ba Lan,12,5,,
34,23/06/2021 23:00:00 +7,Slovakia,Tây Ban Nha,12,5,,
35,24/06/2021 02:00:00 +7,Đức,Hungary,13,6,,
36,24/06/2021 02:00:00 +7,Bồ Đào Nha,Pháp,13,6,,
37,26/06/2021 23:00:00 +7,,,14,,Nhì bảng A,Nhì bảng B
38,27/06/2021 02:00:00 +7,,,14,,Nhất bảng A,Nhì bảng C
39,27/06/2021 23:00:00 +7,,,14,,Nhất bảng C,Ba bảng D/E/F
40,28/06/2021 02:00:00 +7,,,14,,Nhất bảng B,Ba bảng A/D/E/F
41,28/06/2021 23:00:00 +7,,,14,,Nhì bảng D,Nhì bảng E
42,29/06/2021 02:00:00 +7,,,14,,Nhất bảng F,Ba bảng A/B/C
43,29/06/2021 23:00:00 +7,,,14,,Nhất bảng D,Nhì bảng F
44,30/06/2021 02:00:00 +7,,,14,,Nhất bảng E,Ba bảng A/B/C/D
45,02/07/2021 23:00:00 +7,,,15,,Thắng trận 42,Thắng trận 41
46,03/07/2021 02:00:00 +7,,,15,,Thắng trận 40,Thắng trận 38
47,03/07/2021 23:00:00 +7,,,15,,Thắng trận 39,Thắng trận 37
48,04/07/2021 02:00:00 +7,,,15,,Thắng trận 44,Thắng trận 43
49,07/07/2021 02:00:00 +7,,,16,,Thắng trận 46,Thắng trận 45
50,08/07/2021 02:00:00 +7,,,16,,Thắng trận 48,Thắng trận 47
51,12/07/2021 02:00:00 +7,,,17,,Thắng trận 49,Thắng trận 50
