pos,play_at,team1_title_vi,team2_title_vi,round_pos,group_pos,unknown_team1_title_vi,unknown_team2_title_vi
1,14/06/2018 22:00:00 +7,Nga,Ả Rập Xê Út,1,1,,
2,15/06/2018 19:00:00 +7,Ai Cập,Uruguay,2,1,,
3,15/06/2018 22:00:00 +7,Maroc,Iran,2,2,,
4,16/06/2018 1:00:00 +7,Bồ Đào Nha,Tây Ban Nha,3,2,,
5,16/06/2018 17:00:00 +7,Pháp,Úc,3,3,,
6,16/06/2018 20:00:00 +7,Argentina,Iceland,3,4,,
7,16/06/2018 23:00:00 +7,Peru,Đan Mạch,3,3,,
8,17/06/2018 2:00:00 +7,Croatia,Nigeria,4,4,,
9,17/06/2018 19:00:00 +7,Costa Rica,Serbia,4,5,,
10,17/06/2018 22:00:00 +7,Đức,Mexico,4,6,,
11,18/06/2018 01:00:00 +7,Brazil,Thụy Sĩ,5,5,,
12,18/06/2018 19:00:00 +7,Thụy Điển,Hàn Quốc,5,6,,
13,18/06/2018 22:00:00 +7,Bỉ,Panama,5,7,,
14,19/06/2018 1:00:00 +7,Tunisia,Anh,6,7,,
15,19/06/2018 19:00:00 +7,Colombia,Nhật Bản,6,8,,
16,19/06/2018 22:00:00 +7,Ba Lan,Sénégal,6,8,,
17,20/06/2018 1:00:00 +7,Nga,Ai Cập,7,1,,
18,20/06/2018 19:00:00 +7,Bồ Đào Nha,Maroc,7,2,,
19,20/06/2018 22:00:00 +7,Uruguay,Ả Rập Xê Út,7,1,,
20,21/06/2018 1:00:00 +7,Iran,Tây Ban Nha,8,2,,
21,21/06/2018 19:00:00 +7,Đan Mạch,Úc,8,3,,
22,21/06/2018 22:00:00 +7,Pháp,Peru,8,3,,
23,22/06/2018 1:00:00 +7,Argentina,Croatia,9,4,,
24,22/06/2018 19:00:00 +7,Brazil,Costa Rica,9,5,,
25,22/06/2018 22:00:00 +7,Nigeria,Iceland,9,4,,
26,23/06/2018 1:00:00 +7,Serbia,Thụy Sĩ,10,5,,
27,23/06/2018 19:00:00 +7,Bỉ,Tunisia,10,7,,
28,23/06/2018 22:00:00 +7,Hàn Quốc,Mexico,10,6,,
29,24/06/2018 1:00:00 +7,Đức,Thụy Điển,11,6,,
30,24/06/2018 19:00:00 +7,Anh,Panama,11,7,,
31,24/06/2018 22:00:00 +7,Nhật Bản,Sénégal,11,8,,
32,25/06/2018 1:00:00 +19,Ba Lan,Colombia,12,8,,
33,25/06/2018 21:00:00 +7,Ả Rập Xê Út,Ai Cập,12,1,,
34,25/06/2018 21:00:00 +7,Uruguay,Nga,12,1,,
35,26/06/2018 1:00:00 +7,Iran,Bồ Đào Nha,13,2,,
36,26/06/2018 1:00:00 +7,Tây Ban Nha,Maroc,13,2,,
37,26/06/2018 21:00:00 +7,Úc,Peru,13,3,,
38,26/06/2018 21:00:00 +7,Đan Mạch,Pháp,13,3,,
39,27/06/2018 1:00:00 +7,Nigeria,Argentina,14,4,,
40,27/06/2018 1:00:00 +7,Iceland,Croatia,14,4,,
41,27/06/2018 21:00:00 +7,Hàn Quốc,Đức,14,6,,
42,27/06/2018 21:00:00 +7,Mexico,Thụy Điển,14,6,,
43,28/06/2018 1:00:00 +7,Thụy Sĩ,Costa Rica,15,5,,
44,28/06/2018 1:00:00 +7,Serbia,Brazil,15,5,,
45,28/06/2018 21:00:00 +7,Sénégal,Colombia,15,8,,
46,28/06/2018 21:00:00 +7,Nhật Bản,Ba Lan,15,8,,
47,29/06/2018 1:00:00 +7,Anh,Bỉ,16,7,,
48,29/06/2018 1:00:00 +7,Panama,Tunisia,16,7,,
49,30/06/2018 21:00:00 +7,,,17,,Nhất bảng C,Nhì bảng D
50,01/07/2018 1:00:00 +7,,,17,,Nhất bảng A  ,Nhì bảng B
51,01/07/2018 21:00:00 +7,,,17,,Nhất bảng B  ,Nhì bảng A
52,02/07/2018 1:00:00 +7,,,17,,Nhất bảng D ,Nhì bảng C
53,02/07/2018 21:00:00 +7,,,17,,Nhất bảng E,Nhì bảng F
54,03/07/2018 1:00:00 +7,,,17,,Nhất bảng G,Nhì bảng H
55,03/07/2018 21:00:00 +7,,,17,,Nhất bảng F,Nhì bảng E
56,04/07/2018 1:00:00 +7,,,17,,Nhất bảng H,Nhì bảng G
57,06/07/2018 21:00:00 +7,,,18,,Thắng trận 49,Thắng trận 50
58,07/07/2018 1:00:00 +7,,,18,,Thắng trận 53,Thắng trận 54
59,07/07/2018 21:00:00 +7,,,18,,Thắng trận 55,Thắng trận 56
60,08/07/2018 1:00:00 +7,,,18,,Thắng trận 51,Thắng trận 52
61,11/07/2018 1:00:00 +7,,,19,,Thắng trận 57,Thắng trận 58
62,12/07/2018 1:00:00 +7,,,19,,Thắng trận 59,Thắng trận 60
63,14/07/2018 21:00:00 +7,,,20,,Thua trận 61,Thua trận 62
64,15/07/2018 22:00:00 +7,,,21,,Thắng trận 61,Thắng trận 62
